127.0.0.1, 2018-09-22 18:11:35, GET, /admin/default/peek/SP/models/db.py, HTTP/1.1, 200, 0.046208
127.0.0.1, 2018-09-22 18:11:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000419
127.0.0.1, 2018-09-22 18:12:31, GET, /admin/default/peek/SP/models/menu.py, HTTP/1.1, 200, 0.026613
127.0.0.1, 2018-09-22 18:12:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000482
127.0.0.1, 2018-09-22 18:12:41, GET, /admin/default/site, HTTP/1.1, 200, 0.026757
127.0.0.1, 2018-09-22 18:12:47, POST, /admin/default/enable/examples, HTTP/1.1, 500, 0.031989
127.0.0.1, 2018-09-22 18:12:51, GET, /admin/default/site, HTTP/1.1, 200, 0.027553
127.0.0.1, 2018-09-22 18:13:12, GET, /SP/default/site, HTTP/1.1, 404, 0.036637
127.0.0.1, 2018-09-22 18:13:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2018-09-22 18:13:15, GET, /SP/default/site, HTTP/1.1, 404, 0.018562
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/, HTTP/1.1, 200, 0.080251
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000815
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/js/web2py.js, HTTP/1.1, 200, 0.001652
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/js/calendar.js, HTTP/1.1, 200, 0.002099
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/js/jquery.js, HTTP/1.1, 200, 0.003134
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/css/calendar.css, HTTP/1.1, 200, 0.008434
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008843
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.006183
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.008971
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004761
127.0.0.1, 2018-09-22 18:13:17, GET, /SP/static/images/favicon.ico, HTTP/1.1, 200, 0.000574
127.0.0.1, 2018-09-22 18:14:28, GET, /SP/default/user/login, HTTP/1.1, 200, 0.029507
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/default/index, HTTP/1.1, 200, 0.025147
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003661
